id,name,description,address,latitude,longitude,city_id,opening_hours,rating,user_rating,types,phone_number,createdAt,updatedAt
1,Pura Candi Untoroyono,-,"Jl. Karangwungu - Pedan No.354, Nayan, Kalangan, Kec. Pedan, Kabupaten Klaten, Jawa Tengah 57468, Indonesia",-7.6852429,110.7277187,33,Monday: Open 24 hours|Tuesday: Open 24 hours|Wednesday: Open 24 hours|Thursday: Open 24 hours|Friday: Open 24 hours|Saturday: Open 24 hours|Sunday: Open 24 hours,4.2,122,hindu_temple|tourist_attraction|place_of_worship|point_of_interest|establishment,-,10/13/2023 9:38:53.000 PM,10/13/2023 9:38:53.000 PM
2,Wisat Alam Curug Sinom Indah Kalibening,-,"QMMR+497, Area Hutan/Perkebunan, Kasinoman, Kec. Kalibening, Kab. Banjarnegara, Jawa Tengah 53458, Indonesia",-7.217212499999998,109.6909219,28,Monday: 7:00?AM?–?5:00?PM|Tuesday: 7:00?AM?–?5:00?PM|Wednesday: 7:00?AM?–?5:00?PM|Thursday: 7:00?AM?–?5:00?PM|Friday: 7:00?AM?–?5:00?PM|Saturday: 7:00?AM?–?5:00?PM|Sunday: 7:00?AM?–?5:00?PM,4.3,222,tourist_attraction|point_of_interest|establishment,0852-2797-8904,10/13/2023 9:38:53.000 PM,10/13/2023 9:38:53.000 PM
3,Pura Sonosewu,-,"Sawah, Wirun, Kec. Mojolaban, Kabupaten Sukoharjo, Jawa Tengah 57554, Indonesia",-7.6011514,110.8629781,7,Monday: 9:00?AM?–?5:00?PM|Tuesday: 9:00?AM?–?5:00?PM|Wednesday: 9:00?AM?–?5:00?PM|Thursday: 9:00?AM?–?5:00?PM|Friday: 9:00?AM?–?5:00?PM|Saturday: 9:00?AM?–?5:00?PM|Sunday: 9:00?AM?–?5:00?PM,4.5,37,hindu_temple|tourist_attraction|place_of_worship|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
4,Perpustakaan BBalitvet,-,"Jl. Re. Martadinata Haji Bin Ali No.30, RT.03/RW.11, Ciwaringin, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16124, Indonesia",-6.582898699999999,106.7913302,8,Monday: 8:00?AM?–?4:00?PM|Tuesday: 8:00?AM?–?4:00?PM|Wednesday: 8:00?AM?–?4:00?PM|Thursday: 8:00?AM?–?4:00?PM|Friday: 8:00?AM?–?4:00?PM|Saturday: Closed|Sunday: Closed,4.8,68,museum|tourist_attraction|point_of_interest|establishment,(0251) 8339100,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
5,Gereja Katedral Santa Perawan Maria Ratu Rosario Suci,"Early 20th-century Roman Catholic cathedral with grand dome & arch features, plus a small courtyard.","Jl. Pandanaran No.9, Randusari, Kec. Semarang Sel., Kota Semarang, Jawa Tengah 50244, Indonesia",-6.985479700000001,110.4098457,4,Monday: 8:00?AM?–?6:00?PM|Tuesday: 8:00?AM?–?6:00?PM|Wednesday: 8:00?AM?–?6:00?PM|Thursday: 8:00?AM?–?6:00?PM|Friday: 8:00?AM?–?6:00?PM|Saturday: 8:00?AM?–?6:00?PM|Sunday: 8:00?AM?–?6:00?PM,4.8,3592,tourist_attraction|church|place_of_worship|point_of_interest|establishment,(024) 8310036,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
6,Bukit Watu Gagak,-,"39WQ+2RQ, Singosaren, Wukirsari, Kec. Imogiri, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55782, Indonesia",-7.9049069,110.3896199,17,-,4.6,143,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
7,Grand Puri Waterpark,-,"Gabusan, Jl. Parangtritis No.KM. 9, Balong, Timbulharjo, Kec. Sewon, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55186, Indonesia",-7.877788100000003,110.3527371,17,Monday: 9:00?AM?–?5:00?PM|Tuesday: 9:00?AM?–?5:00?PM|Wednesday: 9:00?AM?–?5:00?PM|Thursday: 9:00?AM?–?5:00?PM|Friday: 9:00?AM?–?5:00?PM|Saturday: 8:00?AM?–?5:00?PM|Sunday: 8:00?AM?–?5:00?PM,4.2,3075,tourist_attraction|amusement_park|point_of_interest|establishment,(0274) 6463088,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
8,Wisata sendang mbudho,-,"89WQ+X7M, Daren Lor, Donokerto, Kec. Turi, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55551, Indonesia",-7.652543799999999,110.3881818,18,Monday: 9:00?AM?–?5:00?PM|Tuesday: 9:00?AM?–?5:00?PM|Wednesday: 9:00?AM?–?5:00?PM|Thursday: 9:00?AM?–?5:00?PM|Friday: 9:00?AM?–?5:00?PM|Saturday: 7:00?AM?–?5:00?PM|Sunday: 7:00?AM?–?5:00?PM,4.6,129,tourist_attraction|point_of_interest|establishment,0812-3949-9991,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
9,Sekantong,-,"Dukuh: badulan RT/RW 01/01 Desa:pesaren Kecamatan: warung asem Kabupaten:batang, Area Sawah, Cepagan, Kec. Warungasem, Kabupaten Batang, Jawa Tengah 51252, Indonesia",-6.951265599999999,109.6997802,14,-,5,2,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
10,Air Terjun Lembah SiMaghrib,-,"V42R+3R4, Sumber Asih, Sumberarum, Kec. Songgon, Kabupaten Banyuwangi, Jawa Timur 68463, Indonesia",-8.1498691,114.1420738,15,-,4.5,4,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
11,KEBUN BUAH NAGA BIMOK,-,"C7X5+RW9, Sumber Rejeki, Sumberasri, Kec. Purwoharjo, Kabupaten Banyuwangi, Jawa Timur 68483, Indonesia",-8.551416399999999,114.2594765,15,-,5,1,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
12,Sanggar Among Lare?????????????,-,"Pereng, Sendangsari, Kec. Pengasih, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta, Indonesia",-7.8189812,110.1529385,19,-,4.5,19,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
13,Air Terjun Tirto Kemanten,-,"Dusun Wonorejo, Kalibaruwetan, Kec. Kalibaru, Kabupaten Banyuwangi, Jawa Timur 68467, Indonesia",-8.2415644,113.9871766,15,Monday: 6:00?AM?–?5:30?PM|Tuesday: 6:00?AM?–?5:30?PM|Wednesday: 6:00?AM?–?5:30?PM|Thursday: 6:00?AM?–?5:30?PM|Friday: 6:00?AM?–?5:30?PM|Saturday: 6:00?AM?–?5:30?PM|Sunday: 6:00?AM?–?5:30?PM,4.3,306,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
14,Sungai sekitar FRC UGM,-,"44WX+2QM, Area Sawah, Wates, Kec. Wates, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55651, Indonesia",-7.8549149,110.1494243,19,-,4.7,3,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
15,Metro Mushola,-,"Lt.2 PB I, No.081, Pusat Grosir Metro Beringharjo, Jalan Pabringan Blok C2 No.1, Suryodiningratan, Kec. Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122, Indonesia",-7.8137748,110.360471,5,-,3,1,mosque|tourist_attraction|place_of_worship|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
16,WARKOP KULON NDESO,-,"4M97+W55, Jl. Alternatif Yogyakarta - Wonogiri, Jeruklegi, Katongan, Kec. Nglipar, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55852, Indonesia",-7.8802337,110.6629805,20,Monday: 3:30?–?9:45?PM|Tuesday: 3:30?–?9:45?PM|Wednesday: 3:30?–?9:45?PM|Thursday: 3:30?–?9:45?PM|Friday: 3:30?–?9:45?PM|Saturday: 3:30?–?11:00?PM|Sunday: 3:30?–?9:45?PM,5,3,tourist_attraction|point_of_interest|establishment,0852-2992-4140,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
17,Tampomas Banjarnegara,-,"Jalan Raya Brengkok - Banjarnegara No.7, Binangun, Parakancanggah, Kec. Banjarnegara, Kab. Banjarnegara, Jawa Tengah 53412, Indonesia",-7.430959700000001,109.6465953,28,Monday: 6:00?AM?–?5:00?PM|Tuesday: 6:00?AM?–?5:00?PM|Wednesday: 6:00?AM?–?5:00?PM|Thursday: 6:00?AM?–?5:00?PM|Friday: 6:00?AM?–?5:00?PM|Saturday: 6:00?AM?–?5:00?PM|Sunday: 6:00?AM?–?5:00?PM,4.3,326,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
18,Wisata Tirto Argo,-,"P2C7+FW9, Dusun Karanganyar, Kajarharjo, Kec. Kalibaru, Kabupaten Banyuwangi, Jawa Timur 68467, Indonesia",-8.2788348,114.0148706,15,-,3.9,43,tourist_attraction|point_of_interest|establishment,-,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
19,RK rent,-,"Jl. Kelud Timur I No.13, Petompon, Kec. Gajahmungkur, Kota Semarang, Jawa Tengah 50237, Indonesia",-7.004822599999999,110.4045678,4,Monday: Open 24 hours|Tuesday: Open 24 hours|Wednesday: Open 24 hours|Thursday: Open 24 hours|Friday: Open 24 hours|Saturday: Open 24 hours|Sunday: Open 24 hours,4.9,7,car_rental|tourist_attraction|point_of_interest|establishment,0821-3664-0383,10/13/2023 9:38:52.000 PM,10/13/2023 9:38:52.000 PM
