id,name,description,place_id,lat,lng,key_location_id,created_at,updated_at,business_status,icon,opening_hours,photo_reference,compound_code,global_code,rating,user_ratings_total,types,vicinity,formatted_address,formatted_phone_number
7836,Pura Candi Untoroyono,-,ChIJ_____1A_ei4R5JA1uR5EVqU,-7.6852429,110.7277187,88,10/23/2023 8:07:22 PM,10/23/2023 8:07:22 PM,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/worship_hindu-71.png,Monday: Open 24 hours|Tuesday: Open 24 hours|Wednesday: Open 24 hours|Thursday: Open 24 hours|Friday: Open 24 hours|Saturday: Open 24 hours|Sunday: Open 24 hours,AcJnMuGclDPVW4He8UprcS0Tho0JQAL0l6wkEObrtT7xnpt5faQgL887DDb5Hq5f8mbNQCYgl0BmiTpI69WeafP7AoibiHTnRWv-lsq7D0fg5Ldhh6J_FAxxHzpmc4mQjbQMG9FSZUz4OStFXnu-bZccqQwZAKc6iQi_GZF7qlrgbq8lST-a,"8P7H+W3 Kalangan, Klaten Regency, Central Java, Indonesia",6P4G8P7H+W3,4.2,122,hindu_temple|tourist_attraction|place_of_worship|point_of_interest|establishment,"Jalan Karangwungu - Pedan No.354, Nayan, Kalangan","Jl. Karangwungu - Pedan No.354, Nayan, Kalangan, Kec. Pedan, Kabupaten Klaten, Jawa Tengah 57468, Indonesia",-
7321,Wisat Alam Curug Sinom Indah Kalibening,-,ChIJ_____48DcC4RkWPdtz6iBj8,-7.217212499999998,109.6909219,79,10/23/2023 8:06:24 PM,10/23/2023 8:06:24 PM,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Monday: 7:00 AM – 5:00 PM|Tuesday: 7:00 AM – 5:00 PM|Wednesday: 7:00 AM – 5:00 PM|Thursday: 7:00 AM – 5:00 PM|Friday: 7:00 AM – 5:00 PM|Saturday: 7:00 AM – 5:00 PM|Sunday: 7:00 AM – 5:00 PM,AcJnMuF4_p21-zs1gg04PLVOHyVaypX87ihR7uF6mASmqdUiK9_SCxCrFRTemMQ6k7BC4jVKaFy250qpP5gjChEFNLd22jtcGJ7JqddXDVoX53xTWRv9FDBrQwwghmToifT1Kx_JbdrqzaJojtqugvmz2LCleuI0MEFknX_H28P984TIdn2W,-,-,4.3,222,tourist_attraction|point_of_interest|establishment,"QMMR+497, Area Hutan/Perkebunan, Kasinoman","QMMR+497, Area Hutan/Perkebunan, Kasinoman, Kec. Kalibening, Kab. Banjarnegara, Jawa Tengah 53458, Indonesia",0852-2797-8904
4935,Pura Sonosewu,-,ChIJ_____9QXei4RoduSXgj1Aaw,-7.6011514,110.8629781,24,10/13/2023 10:51:50 PM,10/13/2023 10:51:50 PM,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/worship_hindu-71.png,Monday: 9:00 AM – 5:00 PM|Tuesday: 9:00 AM – 5:00 PM|Wednesday: 9:00 AM – 5:00 PM|Thursday: 9:00 AM – 5:00 PM|Friday: 9:00 AM – 5:00 PM|Saturday: 9:00 AM – 5:00 PM|Sunday: 9:00 AM – 5:00 PM,ATJ83ziXCf3AicbBx7NvjI0It7PwLmFsWY-NfLp69F1VyGyD5UkVAsdL_5fFumGjbgYfPTPaAE8KzZ4TYe7tY_DB0fkMG4OVuAIHYYl6D7HmrvZOCtfMkpQMf1HUIzVBWprbOxQbS34ZwLO6s49cBaGe2xUxXGth9zCqyJeVw7Ad0pLr6-12,"9VX7+G5 Wirun, Sukoharjo Regency, Central Java, Indonesia",6P4G9VX7+G5,4.5,37,hindu_temple|tourist_attraction|place_of_worship|point_of_interest|establishment,"Sawah, Wirun","Sawah, Wirun, Kec. Mojolaban, Kabupaten Sukoharjo, Jawa Tengah 57554, Indonesia",-
4525,Bangsal Pagelaran (ꦧꦁꦱꦭ꧀ꦥꦒꦼꦭꦂꦫꦤ꧀),Pavilion inside the royal palace complex with historical objects & memorabilia on display.,ChIJ____P5BXei4RvG7avn0QxiI,-7.805284299999999,110.3642137,16,10/13/2023 10:51:07 PM,10/13/2023 10:51:07 PM,CLOSED_TEMPORARILY,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,-,ATJ83zj-c-MP0SKS-HVnnVaxDk9MUVihuJoXxdBk3oJYX7boZU0XqXZemxq6zWSjw0aWeppg36uDY0qjGl2ElMcJmUEVDl6rlYQ6EnsZpeHr5oSq9_UCLBl99-Jyoo1apjnfpTr7bTJT8ir9e_FrSUAO8ItguXemFw4S-_UIlqcjr5CSkKXd,-,-,4.6,28,tourist_attraction|point_of_interest|establishment,"59V7+VMP, Jalan Alun-Alun Utara, Panembahan","59V7+VMP, Jl. Alun-Alun Utara, Panembahan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55131, Indonesia",(0274) 374500
4960,Perpustakaan BBalitvet,-,ChIJ__xSpEvEaS4R583uJjzDCVg,-6.582898699999999,106.7913302,25,10/13/2023 10:51:53 PM,10/13/2023 10:51:53 PM,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png,Monday: 8:00 AM – 4:00 PM|Tuesday: 8:00 AM – 4:00 PM|Wednesday: 8:00 AM – 4:00 PM|Thursday: 8:00 AM – 4:00 PM|Friday: 8:00 AM – 4:00 PM|Saturday: Closed|Sunday: Closed,ATJ83zhwny_FutwnEqwLix0TivFzPPuy1xWbuyypELpoKDgPU2yDhoi05O2D3Sl-__qSEYQcMEbtY-ZgNk45sdO6-GIZ3tWHJf_b6t0qn5RGmbdsKEDTanD6aZHKOPJucLXs6KSi0KsQ-nv_QTurC0fPi2EPlK0Pb2-vlN7hUZVxdkoveWcE,"CQ8R+RG Ciwaringin, Bogor City, West Java, Indonesia",6P58CQ8R+RG,4.8,68,museum|tourist_attraction|point_of_interest|establishment,"Jalan Re. Martadinata Haji Bin Ali No.30, RT.03/RW.11, Ciwaringin","Jl. Re. Martadinata Haji Bin Ali No.30, RT.03/RW.11, Ciwaringin, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16124, Indonesia",(0251) 8339100
4411,Gereja Katedral Santa Perawan Maria Ratu Rosario Suci,"Early 20th-century Roman Catholic cathedral with grand dome & arch features, plus a small courtyard.",ChIJ_-Cnv1qLcC4RpbW_vYfMCoE,-6.985479700000001,110.4098457,13,10/13/2023 10:50:55 PM,10/13/2023 10:50:55 PM,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/worship_general-71.png,Monday: 8:00 AM – 6:00 PM|Tuesday: 8:00 AM – 6:00 PM|Wednesday: 8:00 AM – 6:00 PM|Thursday: 8:00 AM – 6:00 PM|Friday: 8:00 AM – 6:00 PM|Saturday: 8:00 AM – 6:00 PM|Sunday: 8:00 AM – 6:00 PM,ATJ83zg_bbWpxhzvcdU6E0zEWmXoIK-GRNjhysYp_w4HncVJqGx6KdkB5JA9VAZcPqL2NcmKPMxWkrjRp96ajDg53vWrWFnnp23TvQ2M6N4F5HGC0KetSS_ojw4Aj7ANSfmxC-dVsOuuC0WsGJR1p_LmmqmLT3NQXe6_Gb_YmZMFITciHHG6,"2C75+RW Randusari, Semarang City, Central Java, Indonesia",6P5G2C75+RW,4.8,3592,tourist_attraction|church|place_of_worship|point_of_interest|establishment,"Jalan Pandanaran No.9, Randusari","Jl. Pandanaran No.9, Randusari, Kec. Semarang Sel., Kota Semarang, Jawa Tengah 50244, Indonesia",(024) 8310036
6358,Bukit Watu Gagak,-,ChIJ_3UNwuNVei4R5dLvPeQjK-M,-7.9049069,110.3896199,55,10/23/2023 7:42:56 PM,10/23/2023 7:42:56 PM,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,-,AcJnMuF6SgKcF4Fpoo7FlKXIKXtra0Ln8rZymWNAyaES0puyqXG_R2sCR27C1QYtEkjC4CuIYrGTAHVQS0c9-ABT0-ea5uU-aGkDPvV96feNBglKAEUWNxEAzn3KAfx37oZTYzu995nH96j7Kf3Oz0Ug2TbbcMGyXGNjyHuDtbtdxVyhcmqE,-,-,4.6,143,tourist_attraction|point_of_interest|establishment,"39WQ+2RQ, Singosaren, Wukirsari","39WQ+2RQ, Singosaren, Wukirsari, Kec. Imogiri, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55782, Indonesia",-
6311,Grand Puri Waterpark,-,ChIJ_3vK6a9Xei4RF3Fw6IpPjWs,-7.877788100000003,110.3527371,55,10/23/2023 7:42:50 PM,10/23/2023 7:42:50 PM,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Monday: 9:00 AM – 5:00 PM|Tuesday: 9:00 AM – 5:00 PM|Wednesday: 9:00 AM – 5:00 PM|Thursday: 9:00 AM – 5:00 PM|Friday: 9:00 AM – 5:00 PM|Saturday: 8:00 AM – 5:00 PM|Sunday: 8:00 AM – 5:00 PM,AcJnMuGURayQWCn74AIyuW5dsz2hDamYHSoZsJzsSot5klIW9F_YXinRuHroIuPVuvfFQgm3HuIsn1Bb6ta19StwyTWZLtNJVPBhlKoU3jpV5MzLDtLtEt2V03Zx_W5EhVy9VQNueI-Mbl-LSZRndIk_jAG13y2QuIbyAtDxEVK9vJr7Fh6Q,"49C3+V3 Timbulharjo, Bantul Regency, Special Region of Yogyakarta, Indonesia",6P4G49C3+V3,4.2,3075,tourist_attraction|amusement_park|point_of_interest|establishment,"Gabusan, Jalan Parangtritis No.KM. 9, Balong, Timbulharjo","Gabusan, Jl. Parangtritis No.KM. 9, Balong, Timbulharjo, Kec. Sewon, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55186, Indonesia",(0274) 6463088
6427,Wisata sendang mbudho,-,ChIJ_3WgSnBfei4RTV1EgNYvjV0,-7.652543799999999,110.3881818,56,10/23/2023 7:43:04 PM,10/23/2023 7:43:04 PM,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Monday: 9:00 AM – 5:00 PM|Tuesday: 9:00 AM – 5:00 PM|Wednesday: 9:00 AM – 5:00 PM|Thursday: 9:00 AM – 5:00 PM|Friday: 9:00 AM – 5:00 PM|Saturday: 7:00 AM – 5:00 PM|Sunday: 7:00 AM – 5:00 PM,AcJnMuE9x2qS2kjIsOSzWh_QIFMzxodF6uYOFJAEB-eP7jMwInvrjG-cGQYsysKu_o95AgFyDcFCJW3QQj6MhN8nQ2ZG9Co8v7P8UELDIErAhNmfwfhds6JmLOjSWyV0cOxJyKscHww5C0K5kxhwv0kGvijr58BfdTEY3NDmFSC8MUU_X6Yf,-,-,4.6,129,tourist_attraction|point_of_interest|establishment,"89WQ+X7M, Daren Lor, Donokerto","89WQ+X7M, Daren Lor, Donokerto, Kec. Turi, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55551, Indonesia",0812-3949-9991
5713,Sekantong,-,ChIJ_54dlcIjcC4R6twlVEOJe0o,-6.951265599999999,109.6997802,42,10/13/2023 10:53:07 PM,10/13/2023 10:53:07 PM,OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,-,-,"2MXX+FW Cepagan, Batang Regency, Central Java, Indonesia",6P5F2MXX+FW,5,2,tourist_attraction|point_of_interest|establishment,"Dukuh: badulan RT/RW 01/01 Desa:pesaren Kecamatan: warung asem Kabupaten:batang, Area Sawah, Cepagan","Dukuh: badulan RT/RW 01/01 Desa:pesaren Kecamatan: warung asem Kabupaten:batang, Area Sawah, Cepagan, Kec. Warungasem, Kabupaten Batang, Jawa Tengah 51252, Indonesia",-
